,Name,url,Location,Summary Reputation,Active From,Answers,Top Meta Posts
0,Jon Skeet,https://stackoverflow.com/users/22656/jon-skeet,"Reading, United Kingdom","1,374,170","Member for 14 years, 2 months",Why is subtracting these two times (in 1927) giving a strange result?,"Congratulations for reaching a million, Gordon Linoff!"
1,Gordon Linoff,https://stackoverflow.com/users/1144035/gordon-linoff,"New York, United States","1,220,031","Member for 10 years, 11 months",How do I put an 'if clause' in an SQL string?,Is asking reasons for downvote in comments non-constructive?
2,VonC,https://stackoverflow.com/users/6309/vonc,France,"1,175,550","Member for 14 years, 3 months",How do I remove a submodule?,Congratulations VonC for reaching a million reputation
3,BalusC,https://stackoverflow.com/users/157882/balusc,"Willemstad, Curaçao","1,061,840","Member for 13 years, 4 months",Examples of GoF Design Patterns in Java's core libraries,Rename [java-ee] to [jakarta-ee]
4,Darin Dimitrov,https://stackoverflow.com/users/29407/darin-dimitrov,"Sofia, Bulgaria","1,008,816","Member for 14 years, 2 months",Calculate the execution time of a method,Who has the power to delete a comment?
5,Martijn Pieters,https://stackoverflow.com/users/100297/martijn-pieters,♦,"1,001,737","Member for 13 years, 7 months","Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",How to reduce image size on Stack Overflow
6,Marc Gravell,https://stackoverflow.com/users/23354/marc-gravell,"Forest of Dean, United Kingdom","1,000,218","Member for 14 years, 2 months",Why is it important to override GetHashCode when Equals method is overridden?,Why does my Stack Overflow for Teams URL start with a /c/?
7,T.J. Crowder,https://stackoverflow.com/users/157247/t-j-crowder,United Kingdom,"996,477","Member for 13 years, 4 months",Loop over an array in JavaScript,"I've been told to create a ""runnable"" example with ""Stack Snippets"". How do I do that?"
8,CommonsWare,https://stackoverflow.com/users/115145/commonsware,"Pennsylvania, United States","970,809","Member for 13 years, 6 months",Where to place the 'assets' folder in Android Studio?,User's political display name triggering government action against users who view it - what should I do?
9,Greg Hewgill,https://stackoverflow.com/users/893/greg-hewgill,"Christchurch, New Zealand","920,672","Member for 14 years, 4 months",What is the difference between 'git pull' and 'git fetch'?,I was recently asked for my Stack Overflow reputation score in a job interview. Is that appropriate?
10,Hans Passant,https://stackoverflow.com/users/17034/hans-passant,"Madison, WI","909,704","Member for 14 years, 3 months","How do I remedy ""The breakpoint will not currently be hit. No symbols have been loaded for this document."" warning?","On large communities decaying over time, being nice or mean, and Stack Overflow"
11,Quentin,https://stackoverflow.com/users/19068/quentin,United Kingdom,"886,528","Member for 14 years, 3 months","Get the values from the ""GET"" parameters (JavaScript)",What to do with new answers that just repeat old ones?
12,SLaks,https://stackoverflow.com/users/34397/slaks,New Jersey,"852,794","Member for 14 years, 1 month",How do I check if string contains substring?,What's the font used in code blocks?
13,akrun,https://stackoverflow.com/users/3732271/akrun,,"837,851","Member for 8 years, 6 months",Change value of variable with dplyr,What should we do when one person tries to delete every duplicate?
14,paxdiablo,https://stackoverflow.com/users/14860/paxdiablo,,"833,325","Member for 14 years, 3 months",Find and kill a process in one line using bash and regex,Get more questions on front page when ignoring tags
15,Alex Martelli,https://stackoverflow.com/users/95810/alex-martelli,"Sunnyvale, CA","832,664","Member for 13 years, 7 months",How do I make a flat list out of a list of lists?,Mac OS X: at command not working
16,unutbu,https://stackoverflow.com/users/190597/unutbu,,"809,705","Member for 13 years, 2 months",How do I select rows from a DataFrame based on column values?,Are self-answered questions with a very narrow scope on-topic?
17,Christian C. Salvadó,https://stackoverflow.com/users/5445/christian-c-salvad%c3%b3,Guatemala,"789,834","Member for 14 years, 3 months",Loop through an array in JavaScript,Stack Exchange's rich text editor -- is it available somewhere?
18,Mark Byers,https://stackoverflow.com/users/61974/mark-byers,Denmark,"789,598","Member for 13 years, 10 months",How do I strip all spaces out of a string in PHP?,Are high-reputation users answering fewer questions?
19,jezrael,https://stackoverflow.com/users/2901002/jezrael,"Bratislava, Slovakia","777,920","Member for 9 years, 2 months",How to copy files,Keyboard shortcuts in editor in SO
20,Felix Kling,https://stackoverflow.com/users/218196/felix-kling,Germany,"777,185",Member for 13 years,How do I return the response from an asynchronous call?,Should we burninate this tag [once] and for all?
21,Ignacio Vazquez-Abrams,https://stackoverflow.com/users/20862/ignacio-vazquez-abrams,,"758,040","Member for 14 years, 2 months",Random string generation with upper case letters and digits,How to find files with certain text in the Terminal
22,anubhava,https://stackoverflow.com/users/548225/anubhava,"Bangalore, India","742,071",Member for 12 years,Loop through an array of strings in Bash?,What prevents rm /dev/null?
